Model, N_I, L, P, PLS Time, Dscr. Time, DS Compute Time, BH Compute Time, Avg. BH Abs. Error
"Alien Sweater (Initial)", 139506, 146, 1856, 0.011403, 0.040659, 9.638361, 0.418413, 0.00283135
"Alien Sweater (Final)", 139506, 146, 2374, 0.007584, 0.038187, 12.617876, 1.10775, 0.00335246
"Sheep Sweater", 729628, 549, 4950, 0.017912, 0.133382, 125.469340, 1.3729, 0.00449363
"Sweater", 271902, 253, 2984, 0.011251, 0.086551, 20.560482, 0.699593, 0.0025938
"Glove", 58537, 70, 1022, 0.006357, 0.035494, 2.363580, 0.114262, 0.00214443
"Knit Tube (Initial)", 18228, 39, 233, 0.006027, 0.024555, 0.146228, 0.042453, 0.00366683
"Knit Tube (Final)", 18228, 39, 180, 0.00598, 0.073101, 0.195362, 0.073197, 0.00597208
"Chainmail (Initial)", 211680, 14112, 18781, 0.01907, 0.040044, 0.029338, 0.056116, 0.00100096
"Chainmail (Final)", 211680, 14112, 61417, 0.036739, 0.066282, 0.077435, 0.094161, 0.000321307
"Rubber Bands", 51200, 1024, 20520, 0.009265, 0.024315, 0.141295, 0.0885, 0.000685554
"Double-Helix Ribbon λ=10, 200K Segs", 200000, 2, 1, 0.015371, 0.068564, 179.397006, 0.184908, 0.0279335
"Double-Helix Ribbon λ=1K, 200K Segs", 200000, 2, 1, 0.017521, 0.106968, 179.838453, 1.07599, 0.217446
"Double-Helix Ribbon λ=10, 20M Segs", 20000000, 2, 1, 0.69938, 7.29305, N/A, 11.9578, 0.0278473
"Double-Helix Ribbon λ=1K, 20M Segs", 20000000, 2, 1, 0.708812, 7.71619, N/A, 26.6083, 0.166848
"Thick Square Link, 500K Segs", 500000, 1250, 405625, 0.041332, 0.104874, 116.257047, 6.4666, 0.00141457
"Thick Square Link, 4M Segs", 4000000, 5000, 6372500, 0.511519, 1.48702, N/A, 125.834, 0.00156695
"Torus λ=1M, 20M Segs", 20000000, 2, 1, 0.74796, 7.58223, N/A, 13.6974, 0.0528471
"Torus λ=0,  40M Segs", 40000000, 4, 6, 1.20109, 8.38701, N/A, 17.6159, 0.00305369
"Woundball ν=1K,  1M Segs", 1000000, 2, 1, 0.043161, 0.326544, N/A, 0.712753, 0.0558911
"Woundball ν=10K, 2M Segs", 2000000, 2, 1, 0.091905, 0.758342, N/A, 12.483, 0.0111109
